asdfasfd,showInSandbox,unitAsset,bulletAsset,corpseAsset,attackWindUpAnimationName,attackAnimationName,startAnimationName,moveAnimationName,deathAnimationName
String,Integer,String,String,String,String,String,String,String,String
R1,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R2,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R3,0,R3_Infantry.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,R3_Infantry_Attack_Start_01,R3_Infantry_Attack_01,,R3_Infantry_Run_01,R3_Infantry_Die_01
R4,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R5,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R6,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R7,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R8,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
R9,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
X1,0,X1_Turret.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,X1_Attack_Start_01,X1_Attack_01,X1_Move_01,X1_Move_01,X1_Die_01
X6,1,X6_Plane.scene,PROJ_BALL_00.scene,X6_Explosion.scene,X6_WindUp,X6_Attack,X6_Move_Start,X6_Move,
B1,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B2,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B3,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B4,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B5,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B6,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B7,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B8,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
B9,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
X2,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
X4,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
G1,1,G1_Infantry.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G1_WindUp,G1_Attack,,G1_Move,G1_Death
G2,1,G2_Infantry.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G2_WindUp,G2_Attack,,G2_Move01,G2_Death
G3,1,G3_Infantry.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G3_Infantry_Attack_Start_01,G3_Infantry_Attack_01,,G3_Infantry_Move_01,G3_Infantry_Die_01
G4,1,G4_Tank.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G4_Tank_Attack_Start,G4_Tank_Attack,G4_Tank_Move_Start,G4_Tank_Move,G4_Tank_Die
G5,1,G5_Tank.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G5_Attack_Start_02,G5_Attack_01,G5_Move_Start_01,G5_Move_02,G5_Die_01
G6,1,G6_Drone.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G6_WindUp,G6_Attack,G6_Start,G6_Move,G6_Death_01
G7,0,G7_Tank.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,G7_Tank_Attack_Start,G7_Tank_Attack,G7_Tank_Move_Start,G7_Tank_Move,G7_Tank_Die
G8,1,G8_Tank.scene,PROJ_BALL_00.scene,G8_Explosion.scene,G8_WindUp,G8_Attack,G8_Start,G8_Move,G8_Death
G9,1,G9_Mech.scene,G9_Ground.scene,G9_Explosion.scene,G9_WindUp,G9_Attack,G9_Start,G9_Move,G9_Death
X3,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
X5,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
X7,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
4M,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
RRR,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
redSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
blueSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
greenSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
droneSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
shieldSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
swarmSummon,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T1A,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T1J,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T1G,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T2A,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
T2J,0,G_INF_00.scene,PROJ_BALL_00.scene,Corpse_Explosion_01.scene,,G_INF_00_SWING,,G_INF_00_RUN,G_INF_00_RUN
